赤坂レッドシアター,アカサカレッドシアター
評価方法,ヒョウカホウホウ
網羅的,モウラテキ
圧縮接尾辞木,アッシュクセツビジキ
分岐数,ブンキスウ
出現頻度,シュツゲンヒンド
文脈長,ブンミャクチョウ
最適化,サイテキカ
中国語単語,チュウゴクゴタンゴ
単語分割,タンゴブンカツ
出力ラベル,シュツリョクラベル
直接推定,チョクセツスイテイ
遷移行列,センイギョウレツ
遷移行列,センイギョウレツ
難易度判定,ナンイドハンテイ
単語間,タンゴカン
文書ベクトル,ブンショベクトル
グラフ伝搬,グラフデンパン
レア単語,レアタンゴ
出現頻度,シュツゲンヒンド
実験的,ジッケンテキ
意味ごと,イミゴト
ゲーム自体,ゲームジタイ
読み会,ヨミカイ
読み会,ヨミカイ
座席表,ザセキヒョウ
読み会,ヨミカイ
座席表,ザセキヒョウ
Ustream機材,ユーストリームキザイ
キートップ試作,キートップシサク
試作品,シサクヒン
完成度,カンセイド
別府大変,ベップタイヘン
宮崎高千穂峡,ミヤザキタカチホキョウ
全く注目,ゼンクチュウモク
コンテンツ力,コンテンツリョク
自動テスト,ジドウテスト
デフォルトパッケージ,デフォルトパッケージ
バージョン依存,バージョンイゾン
home以下,ホームイカ
toDocker,トゥドッカー
Dockerdaemon,ドッカーデーモン
松茸ご飯,マツタケゴハン
万円,マンエン
ラーメン築地魚市場,ラーメンツキジウオイチバ
一バージョン,イチバージョン
テスト環境,テストカンキョウ
amazonだらけ,アマゾンダラケ
宅配ロボット,タクハイロボット
２割,ニワリ
排ガス増,ハイガスゾウ
最終的,サイシュウテキ
何時間,ナンジカン
終電情報,シュウデンジョウホウ
相手側,アイテガワ
インターン氏,インターンシ
自作bot,ジサクボット
小林さん,コバヤシサン
ハイパーパラメータ,ハイパーパラメータ
最終発表,サイシュウハッピョウ
澤井さん,サワイサン
キャラクター性,キャラクターセイ
性変換,セイヘンカン
草津きた,クサツキタ
きた草津温泉,キタクサツオンセン
草津温泉湯畑,クサツオンセンユバタケ
補欠登録,ホケツトウロク
読み会,ヨミカイ
最新動向,サイシンドウコウ
年台,ネンダイ
みんな手作り,ミンナテヅクリ
レベル感,レベルカン
石川土産,イシカワミヤゲ
昨年度実績,サクネンドジッセキ
実績参加者,ジッセキサンカシャ
人程度,ニンテイド
自動生成,ジドウセイセイ
呼び出しグラフ,ヨビダシグラフ
集中講義,シュウチュウコウギ
フルサイズ用,フルサイズヨウ
準備万端,ジュンビバンタン
内定式普通,ナイテイシキフツウ
分野適応,ブンヤテキオウ
内部状態,ナイブジョウタイ
内部実装,ナイブジッソウ
CIサーバー,シーアイサーバー
サーバー用,サーバーヨウ
ディープラーニング専用,ディープラーニングセンヨウ
専用GPU,センヨウジーピーユー
GPUサーバファーム,ジーピーユーサーバファーム
紅莉,ベニレイ
広報情報,コウホウジョウホウ
ソースコード自動,ソースコードジドウ
自動生成,ジドウセイセイ
２週間,ニシュウカン
週間位,シュウカンイ
言語処理,ゲンゴショリ
人工知能周辺,ジンコウチノウシュウヘン
周辺分野,シュウヘンブンヤ
研究者,ケンキュウシャ
方とお話,ホウトオハナシ
cuda.i,シーユーダアイ
みんな同じ,ミンナオナジ
受賞者,ジュショウシャ
CI用,シーアイヨウ
GPUパス,ジーピーユーパス
パススルー,パススルー
KVM上,ケーブイエムジョウ
複数バージョン,フクスウバージョン
VM力,ブイエムリョク
これはすごい便利,コレハスゴイベンリ
諸々イベント,モロモロイベント
言語処理,ゲンゴショリ
深層学習,シンソウガクシュウ
学習勉強会,ガクシュウベンキョウカイ
辻井先生,ツジイセンセイ
武田さん,タケダサン
大変あれ,タイヘンアレ
gistじゃなくて,ギストジャナクテ
そっち参照,ソッチサンショウ
jpさん,ジェーピーサン
