jpさん,ジェーピーサン
moreat,モアアット
Newversion,ニューバージョン
isout,アイエスアウト
学習時,ガクシュウジ
初期値,ショキチ
手予測,テヨソク
手予測,テヨソク
価値関数,カチカンスウ
最新人工知能,サイシンジンコウチノウ
人工知能使い,ジンコウチノウヅカイ
使い囲碁,ヅカイイゴ
囲碁ソフト,イゴソフト
ソフト開発,ソフトカイハツ
開発プロ,カイハツプロ
NHKニュース,エヌエイチケイニュース
GoogleAI,グーグルアイ
forfirst,フォーファースト
firsttime,ファーストタイム
東京ウェブマイニング,トウキョウウェブマイニング
エモい話,エモイバナシ
技術的,ギジュツテキ
マサカリ,マサカリ
分析用,ブンセキヨウ
用汎用,ヨウハンヨウ
汎用データマート,ハンヨウデータマート
分析基盤,ブンセキキバン
基盤構築,キバンコウチク
回データマイニング,カイデータマイニング
汎用DM,ハンヨウダイレクトメール
DS憂鬱,ディーエスユウウツ
豪華内容,ゴウカナイヨウ
読み会,ヨミカイ
SlideShare,スライドシェア
Shareさん,シェアサン
紹介資料,ショウカイシリョウ
Networksfor,ネットワークスフォー
Networksfor,ネットワークスフォー
発表資料,ハッピョウシリョウ
読み会,ヨミカイ
読み会,ヨミカイ
ニコ生配信,ニコナマハイシン
読み会,ヨミカイ
会場参加,カイジョウサンカ
ニコ生配信,ニコナマハイシン
告知ページ,コクチページ
配信URL,ハイシンユーアールエル
株式会社ロフトワーク,カブシキガイシャロフトワーク
事情昨日,ジジョウキノウ
資料公開,シリョウコウカイ
FacebookAI,フェイスブックアイ
AIResearch,アイリサーチ
深層学習,シンソウガクシュウ
機械知覚,キカイチカク
PowerPointプレゼンテーション,パワーポイントプレゼンテーション
シーンモデリング,シーンモデリング
画像キャプション,ガゾウキャプション
自動生成,ジドウセイセイ
確率場,カクリツジョウ
深層学習,シンソウガクシュウ
回CREST,カイクレスト
CRESTシンポジウム,クレストシンポジウム
講演者,コウエンシャ
最新動向,サイシンドウコウ
回データマイニング,カイデータマイニング
活用祭り,カツヨウマツリ
開催内容,カイサイナイヨウ
深層学習,シンソウガクシュウ
機械学習活用,キカイガクシュウカツヨウ
活用アンカンファレンス,カツヨウアンカンファレンス
物理化学特性,ブツリカガクトクセイ
母子間,ボシカン
間移行,カンイコウ
パーソナル広告,パーソナルコウコク
広告配信,コウコクハイシン
配信徹底,ハイシンテッテイ
徹底入門,テッテイニュウモン
回データマイニング,カイデータマイニング
活用祭り,カツヨウマツリ
発表資料,ハッピョウシリョウ
子どもたち,コドモタチ
母子間,ボシカン
間移行,カンイコウ
移行率,イコウリツ
率予測,リツヨソク
会場参加者,カイジョウサンカシャ
参加者ID,サンカシャアイディー
バックグラウンド一覧,バックグラウンドイチラン
進行方針,シンコウホウシン
会場準備,カイジョウジュンビ
準備完了,ジュンビカンリョウ
時開始,ジカイシ
回データマイニング,カイデータマイニング
活用祭り,カツヨウマツリ
六本木FreakOut,ロッポンギフリークアウト
回データマイニング,カイデータマイニング
会場参加,カイジョウサンカ
inPython,インパイソン
PrincetonShape,プリンストンシェイプ
ShapeBench,シェイプベンチ
Benchmark,ベンチマーク
andsoftware,アンドソフトウェア
softwaretools,ソフトウェアツゥールズ
toolsfor,ツゥールズフォー
機械学習用,キカイガクシュウヨウ
用データセット,ヨウデータセット
研究コミュニティー,ケンキュウコミュニティー
TechCrunchJapan,テッククランチジャパン
モノクロ画像,モノクロガゾウ
自動彩色,ジドウサイシキ
inPython,インパイソン
Networksfor,ネットワークスフォー
ビジョン系,ビジョンケイ
系深層,ケイシンソウ
深層学習,シンソウガクシュウ
学習講義,ガクシュウコウギ
講義ビデオ,コウギビデオ
ビデオ付き,ビデオツキ
豪華版,ゴウカバン
発表資料,ハッピョウシリョウ
配信最適化,ハイシンサイテキカ
回データマイニング,カイデータマイニング
会場参加,カイジョウサンカ
参加募集,サンカボシュウ
forZero,フォーゼロ
ConnectedDeep,コネクティッドディープ
DeepStructure,ディープストラクチャー
piecewise,ピースワイズ
deepstructure,ディープストラクチャー
確率場,カクリツジョウ
効率的,コウリツテキ
深層学習,シンソウガクシュウ
Networksfor,ネットワークスフォー
Networksfor,ネットワークスフォー
Showand,ショウアンド
forMateria,フォーマテリア
Material,マテリアリットル
Networksfor,ネットワークスフォー
ina,インアール
シンポジウム開始,シンポジウムカイシ
確率場,カクリツジョウ
深層学習,シンソウガクシュウ
回CREST,カイクレスト
CRESTシンポジウム,クレストシンポジウム
回データマイニング,カイデータマイニング
会場参加,カイジョウサンカ
参加募集,サンカボシュウ
登録ページ,トウロクページ
課題解決,カダイカイケツ
あとチケット,アトチケット
チケット発行,チケットハッコウ
回データマイニング,カイデータマイニング
時頃,ジゴロ
会場参加,カイジョウサンカ
参加募集,サンカボシュウ
パーソナル広告,パーソナルコウコク
パーソナル広告,パーソナルコウコク
広告配信,コウコクハイシン
配信徹底,ハイシンテッテイ
徹底入門,テッテイニュウモン
子どもたち,コドモタチ
機械学習活用,キカイガクシュウカツヨウ
登録ページ,トウロクページ
業界メンバー,ギョウカイメンバー
回データマイニング,カイデータマイニング
機械学習活用,キカイガクシュウカツヨウ
活用アンカンファレンス,カツヨウアンカンファレンス
子供達,コドモタチ
パーソナル広告,パーソナルコウコク
広告配信,コウコクハイシン
配信徹底,ハイシンテッテイ
徹底入門,テッテイニュウモン
豪華内容,ゴウカナイヨウ
回データマイニング,カイデータマイニング
活用祭り,カツヨウマツリ
forLanguage,フォーセンゴヒャクサンジュウゴマンロッピャクロクジュウゴゼロゼロキュウナナマンハチゴゼロナナ
forNLP,フォーエヌエルピー
redcar,レッドカー
caris,カーイズ
byhuman,ビーワイヒューマン
othercars,アザーカーズ
carstry,カーズトルコリラ
tryto,トルコリラトゥ
toavoid,トゥアヴォイド
MorearXiv,モアアーカイブ
arXivDeep,アーカイブディープ
vectorscapture,ベクターズキャプチャー
有名ライブラリ,ユウメイライブラリ
半日コース,ハンニチコース
画風変換,ガフウヘンカン
Outその後,アウトソノゴ
aCNN,アールシーエヌエヌ
CNNfor,シーエヌエヌフォー
inTensorFlow,インテンソーフロー
対話用,タイワヨウ
学習データ,ガクシュウデータ
SuperMario Maker,スーパーマリオメーカー
toUnderstand,トゥアンダースタンド
DeepNetworks,ディープネットワークス
DLWS,ダウンロードダブルエス
formachine learning,フォーマシンラーニング
奈良先端科学技術,ナラセンタンカガクギジュツ
科学技術大学院大学,カガクギジュツダイガクインダイガク
画像キャプション,ガゾウキャプション
キャプション生成,キャプションセイセイ
生成モデル,セイセイモデル
andBeyond,アンドビヨンド
RAMWS,ラムダブルエス
theRise,ザライズ
inDeep,インディープ
RAMWS,ラムダブルエス
RAMWS,ラムダブルエス
RAMWS,ラムダブルエス
beam2d,ビームツーディー
inVector,インベクター
withTensorFlow,ウィズテンソーフロー
読み会,ヨミカイ
説明文,セツメイブン
自動生成,ジドウセイセイ
generate,ジーンラテ
ratecaption,ラテキャプション
DeepNetworks,ディープネットワークス
Networksin,ネットワークスイン
DeepNetworks,ディープネットワークス
Networksin,ネットワークスイン
公開コメント,コウカイコメント
コメントデータ,コメントデータ
顔イラスト,カオイラスト
自動生成,ジドウセイセイ
深層学習,シンソウガクシュウ
学習AI,ガクシュウアイ
ina,インアール
DEEPstation,ディープアットステーション
GUIdeep,ジーユーアイディープ
deepstation,ディープアットステーション
2dot,ツーディーオーティ
toa,トゥアール
adot,アールディーオーティー
2dot,ツーディーオーティ
深層学習,シンソウガクシュウ
学習ライブラリ,ガクシュウライブラリ
プログラミングモデル,プログラミングモデル
バージョンアップ事例,バージョンアップジレイ
Togetterまとめ,トゥギャッターマトメ
進行関連,シンコウカンレン
Available,アベイルエイブル
forBuilding,フォービルディング
scaleScene,スケールシーン
SceneUnderstanding,シーンアンダースタンディング
scaleScene,スケールシーン
SceneUnderstanding,シーンアンダースタンディング
andDeep,アンドディープ
日程終了,ニッテイシュウリョウ
Networksfor,ネットワークスフォー
LanguageProcessing,センゴヒャクサンジュウゴマンロッピャクロクジュウゴゼロゼロキュウナナマンハチゴゼロナナプロセシング
RAMWS,ラムダブルエス
Reasoning,ノーズンアイエヌジー
Theoryfor,セオリーフォー
BestPaper,ベストペーパー
foropen,フォーオープン
languageunderstanding,センゴヒャクサンジュウゴマンロッピャクロクジュウゴゼロゼロキュウナナマンハチゴゼロナナアンダースタンディング
