４丁目,ヨンチョウメ
土手内１,ドテウチイチ
１丁目,イチチョウメ
太白１,タイハクイチ
１丁目,イチチョウメ
富沢字,トミザワジ
字金剛沢,ジコンゴウサワ
旗立１,ハタタテイチ
１丁目,イチチョウメ
桜木町,サクラギマチ
緑ケ丘１,ミドリガオカイチ
１丁目,イチチョウメ
緑ケ丘３,ミドリガオカサン
３丁目,サンチョウメ
緑ケ丘４,ミドリガオカヨン
４丁目,ヨンチョウメ
三神峯１,ミカミネイチ
１丁目,イチチョウメ
上野山,ウエノサン
山２,サンニ
２丁目,ニチョウメ
八木山南１,ヤギヤマミナミイチ
１丁目,イチチョウメ
八木山南２,ヤギヤマミナミニ
２丁目,ニチョウメ
八木山南３,ヤギヤマミナミサン
３丁目,サンチョウメ
八木山南５,ヤギヤマミナミゴ
５丁目,ゴチョウメ
八木山南６,ヤギヤマミナミロク
６丁目,ロクチョウメ
八木山本町１,ヤギヤマホンチョウイチ
１丁目,イチチョウメ
八木山本町２,ヤギヤマホンチョウニ
２丁目,ニチョウメ
八木山東２,ヤギヤマヒガシニ
２丁目,ニチョウメ
避難対象者,ヒナンタイショウシャ
２倍,ニバイ
倍以上,バイイジョウ
発令対象,ハツレイタイショウ
対象世帯,タイショウセタイ
発令対象,ハツレイタイショウ
対象人数,タイショウニンズウ
年9月10日,ネンクガツトオカ
仙台市内,センダイシナイ
対象区域,タイショウクイキ
添付画像,テンプガゾウ
指定河川,シテイカセン
河川洪水予報,カセンコウズイヨホウ
広瀬川9月10日,ヒロセガワクガツトオカ
分広瀬川,フンヒロセガワ
はん濫注意,ハンランチュウイ
注意情報,チュウイジョウホウ
十分注意,ジュウブンチュウイ
対象地域追加,タイショウチイキツイカ
年9月10日,ネンクガツトオカ
仙台市内,センダイシナイ
対象区域,タイショウクイキ
添付画像,テンプガゾウ
年9月10日,ネンクガツトオカ
仙台市内,センダイシナイ
対象区域,タイショウクイキ
添付画像,テンプガゾウ
秋湯,アキユ
湯温泉,ユオンセン
土砂災害発生,ドシャサイガイハッセイ
危険度,キケンド
杜の都防災,モリノミヤコボウサイ
防災Web,ボウサイWeb
危機管理室,キキカンリシツ
室Twitter,シツツイッター
仙台市東部,センダイシトウブ
月10日,ツキトオカ
分仙台市,フンセンダイシ
仙台市東部,センダイシトウブ
関根さん,セキネサン
学生さん達,ガクセイサンタチ
今月30日,コンゲツサンジュウニチ
人工知能シンポジウム,ジンコウチノウシンポジウム
立席,タツセキ
デンソーアイティーラボラトリさま,デンソーアイティーラボラトリサマ
クックパッドさま,クックパッドサマ
ディー・エヌ・エーさま,ディーエヌエーサマ
Gunosyさま,グノシーサマ
UBICさま,ユービックサマ
企業発表,キギョウハッピョウ
ウェザーニュースさま,ウェザーニュースサマ
企業発表,キギョウハッピョウ
天気情報,テンキジョウホウ
常識インフラ,ジョウシキインフラ
万件,マンケン
位置情報付き,イチジョウホウツキ
さ度合い,サドアイ
人材募集中,ジンザイボシュウチュウ
叶内さん,カナウチサン
国際会議,コクサイカイギ
会議参加,カイギサンカ
参加報告,サンカホウコク
国際会議,コクサイカイギ
テーマ決定,テーマケッテイ
Googleさま,グーグルサマ
企業発表,キギョウハッピョウ
翻訳結果,ホンヤクケッカ
類型化,ルイケイカ
主観評価,シュカンヒョウカ
TISさま,ティーアイエスサマ
企業発表,キギョウハッピョウ
ロボットNao,ロボットナオ
特定ドメイン,トクテイドメイン
OSS開発,オーエスエスカイハツ
重要点,ジュウヨウテン
明確化,メイカクカ
直接対面,チョクセツタイメン
OSS開発,オーエスエスカイハツ
全部自分,ゼンブジブン
継続性,ケイゾクセイ
当時唯一,トウジユイイツ
OSS実装,オーエスエスジッソウ
周辺ツール,シュウヘンツール
関数型,カンスウガタ
組み合わせ方,クミアワセカタ
メモリ環境,メモリカンキョウ
招待講演,ショウタイコウエン
リクルートジョブズ,リクルートジョブズ
ジョブズさま,ジョブズサマ
企業発表,キギョウハッピョウ
TOWNWORK等,タウンワークトウ
多数運営,タスウウンエイ
仕事募集,シゴトボシュウ
週単位,シュウタンイ
コールドスタート,コールドスタート
スタート問題,スタートモンダイ
テクノロジーラボ,テクノロジーラボ
検索ワード,ケンサクワード
テスト中,テストチュウ
企業発表,キギョウハッピョウ
１年,イチネン
マイクロサービス,マイクロサービス
サービス化,サービスカ
恋愛依存症体質,レンアイイソンショウタイシツ
抽出対象,チュウシュツタイショウ
固有表現,コユウヒョウゲン
社食キッチン,シャショクキッチン
人材募集中,ジンザイボシュウチュウ
リクルートテクノロジーズさま,リクルートテクノロジーズサマ
企業発表,キギョウハッピョウ
クチコミ情報,クチコミジョウホウ
タグ付け,タグヅケ
スタートアップ方式,スタートアップホウシキ
スライド中,スライドチュウ
サンプルコード,サンプルコード
フルバージョン,フルバージョン
金沢近江町市場,カナザワオウミチョウイチバ
近江町市場山,オウミチョウイチバサン
山さん,サンサン
さん寿司,サンスシ
寿司本店,スシホンテン
NLP若手,エヌエルピーワカテ
会シンポジウム,カイシンポジウム
配信予定,ハイシンヨテイ
マシンラーニングチーム,マシンラーニングチーム
徳永拓,トクナガタク
拓之,タクコレ
Excelファイル,エクセルファイル
テストコード,テストコード
結局参照,ケッキョクサンショウ
テスト用,テストヨウ
Excelファイル,エクセルファイル
不安要素,フアンヨウソ
ガチ機械学習,ガチキカイガクシュウ
機械学習最強,キカイガクシュウサイキョウ
最強研究室,サイキョウケンキュウシツ
佐藤研,サトウケン
拠点研究室,キョテンケンキュウシツ
研究室展開,ケンキュウシツテンカイ
東大理学部,トウダイリガクブ
理学部情報科学,リガクブジョウホウカガク
情報科学科,ジョウホウカガクカ
情報理工,ジョウホウリコウ
理工コンピューター,リコウコンピューター
コンピューター科学,コンピューターカガク
科学専攻,カガクセンコウ
領域複雑,リョウイキフクザツ
複雑理工,フクザツリコウ
杉山先生別々,スギヤマセンセイベツベツ
確認画面,カクニンガメン
長文意味不明,チョウブンイミフメイ
仙台オクトーバーフェスト,センダイオクトーバーフェスト
ステージ情報,ステージジョウホウ
仙台オクトーバーフェスト,センダイオクトーバーフェスト
webクーポン,ウェブクーポン
回最先端,カイサイセンタン
最先端NLP,サイセンタンエヌエルピー
NLP勉強会,エヌエルピーベンキョウカイ
勉強会at,ベンキョウカイエーティー
atSmartNews,エーティースマートニュース
持橋,ジキョウ
橋さん,キョウサン
回発表,カイハッピョウ
奥山さん,オクヤマサン
乾さん,イヌイサン
１枚,イチマイ
アニメーション要素,アニメーションヨウソ
定期的,テイキテキ
研究相談,ケンキュウソウダン
翻訳記事,ホンヤクキジ
巨人たち,キョジンタチ
今何,イマナニ
音声応用,オンセイオウヨウ
日本音響,ニッポンオンキョウ
音響学会,オンキョウガッカイ
研究発表,ケンキュウハッピョウ
発表会,ハッピョウカイ
参加証明,サンカショウメイ
大学側,ダイガクガワ
個別対応,コベツタイオウ
乾先生,イヌイセンセイ
３年,サンネン
年後,ネンゴ
後５,ゴゴ
５年,ゴネン
年後,ネンゴ
研究者,ケンキュウシャ
具体例,グタイレイ
乾先生,イヌイセンセイ
先生登壇,センセイトウダン
松岡正剛さん,マツオカセイゴウサン
すべて編集,スベテヘンシュウ
仙台いって,センダイイッテ
いって日本,イッテニッポン
日本酒,ニッポンシュ
短期的,タンキテキ
的推薦,テキスイセン
向き推論,ムキスイロン
長期的,チョウキテキ
的推薦,テキスイセン
家父長,カフチョウ
長的,チョウテキ
心理的負担,シンリテキフタン
ソーシャルリスニングチーム,ソーシャルリスニングチーム
事件事故,ジケンジコ
担当部署,タントウブショ
２４,ニヨン
４時間,ヨンジカン
時間３,ジカンサン
３６,サンロク
６５,ロクゴ
５日,ゴニチ
日体制,ニチタイセイ
ＮＨＫ職員,エヌエイチケイショクイン
学生バイト,ガクセイバイト
バイトチーム,バイトチーム
RayMooney,レイムーニー
Mooney氏,ムーニーシ
最新論文,サイシンロンブン
投稿中,トウコウチュウ
Meaningwith,ミーニングウィズ
witha,ウィズアール
andVectors,アンドベクターズ
RayMooney,レイムーニー
Mooney氏,ムーニーシ
論理形式,ロンリケイシキ
構成的,コウセイテキ
的証明,テキショウメイ
存在証明,ソンザイショウメイ
効率化,コウリツカ
朱中元,シュチュウゲン
中元君,チュウゲンクン
彼自身,カレジシン
ニューラル機械翻訳,ニューラルキカイホンヤク
ホワイトボード書道,ホワイトボードショドウ
解説記事,カイセツキジ
